user_name,review_description,rating,review_date
Lorraine Mir,Fabulous,5,5/9/2024 22:47
Linda Arseneau,Gives me the extra room I need for my photos,5,5/9/2024 22:33
Maria Cardwell,Love yo see the pics on TV!,5,5/9/2024 21:36
Layne Yager,Good app,5,5/9/2024 20:31
Danielle Whiffen,Quality printed pictures and reasonable delivery time.,5,5/9/2024 20:27
James Solan,very good,4,5/9/2024 20:16
Jason McKeown,good storage amount for the price,5,5/9/2024 19:10
Pascal Atanga,Cool,5,5/9/2024 18:13
Brian Lee,Does what it says it will do,5,5/9/2024 18:02
Brenda Jacob,Easy. Nice memory feature,5,5/9/2024 17:52
Darren Sybouts,Hard to find photos. Should be set up by latest to first photo.,3,5/9/2024 17:44
Andy Dyson,Great ??ç,5,5/9/2024 17:26
Richard Hughes-Chen,Whilst Google is limiting storage this is a great way to keep all your photos,5,5/9/2024 16:48
stoowie1212,Great no issues found so far,5,5/9/2024 16:47
Sarah Power,Able to access my photos in order.,5,5/9/2024 16:41
Axel Douchin,"Why when I use it I always feel it's done on purpose that there is no AI to improve automatically my pictures when most competition does it, ex Google photos? There are virtually no features on this app. I think Amazon just does not want it to be used on purpose.",2,5/9/2024 15:53
Maria Mcbride,Lost so many photos past,5,5/9/2024 15:41
Mohammed Zaman,"So far, so good!",5,5/9/2024 14:25
mary Kilic,Great,5,5/9/2024 13:23
Nick Cuthbertson,Peace of mind that all your photos and videos are uploaded and available to view,5,5/9/2024 13:09
Timothy Marable,I love this app looking at my photos on my echo ??ç ??ç??ç??ç,5,5/9/2024 10:45
Sheryl Ursery,Very good,5,5/9/2024 10:11
Emilie Margraff,Don't even have to lift a finger,5,5/9/2024 9:13
Candice Rogers,I love this app.. especially the photos being displayed as a screensaver on our televisions..shares fantastic memories every single day!,5,5/9/2024 7:24
Patricia Harvill,They are quick to store photos...,5,5/9/2024 6:10
Jennifer Cole,Good,5,5/9/2024 4:43
Cesar Roman,Very good,5,5/9/2024 4:11
Michael Mccalla,Awesome,5,5/9/2024 4:02
Steve Cochran,very nice,5,5/9/2024 2:50
Gail Daniels,Best place for my pictures,5,5/9/2024 1:55
mike wilde,"Love this app, it upload all my photos automatically so I know that all memories are safe.",5,5/9/2024 0:57
Paul Buksh,Love it,5,5/9/2024 0:49
David McLaughlin,Fast. Easy. Fun.,5,5/9/2024 0:18
Halle,Verry good.,5,5/9/2024 0:04
Sharon,Love having access to all my photos and able to put them on my Amazon Alexa devices,5,5/8/2024 23:39
Giuseppe Scolaro,Good,5,5/8/2024 23:18
Ahmed Raouf,Terrible in comparison with alternatives,1,5/8/2024 23:15
Susan Stroud,Great app,5,5/8/2024 22:42
Ibraheem Raji,Good value for money,5,5/8/2024 22:37
A Google user,"Works well auto uploading photos from phone. Love that I can store uncompressed, even raw, pics. Downgraded to 3 stars due to lack of some basic features. When adding pics to folders you can't arrange folders alphabetically so you have to look until you find it. Pics won't auto rotate when you rotate your device. Basic info isn't readily available (location, what folder it is in, etc). No option to delete pics from your device when deleted from this app. Just not well thought out.",3,5/8/2024 21:42
Heather Lawrence,Love it,5,5/8/2024 21:10
gillian coupe,Great app,5,5/8/2024 21:02
A Google user,Automatically download pictures so you don't have to worry about transferring them over. Easy to use. Love it!,5,5/8/2024 20:47
Pat Palmer,"When my phone broke and I had to do a factory reset, Amazon photos saved me and not one picture lost.",5,5/8/2024 20:41
sharon conward,Good so far. All my photos roll on my smart tv too that brings me memories.???,5,5/8/2024 20:17
Thomas Schmitt,"The fact that you cannot easily multi-select photos like you can in Apl or Ggl photo apps is a major, major shortcoming that really angers me. The app seems designed to specifically make it hard for users to mass delete photos, I assume because Amazon wants the data in those pictures for as long as possible. Therefore, they make it very difficult to perform mass deletion by making mass selection hard. Trust not thine photos with Amazon.",1,5/8/2024 20:05
Erma Murphy,"Very, Nice clear pictures",5,5/8/2024 20:02
Allan Bruno Petersen,Not recognizing Prime for many countries,1,5/8/2024 19:53
Erik. E Escalante,Good app,4,5/8/2024 19:46
Teresa Howard,I was surprised to find my photos saved on this app.,4,5/8/2024 19:36
Diane Macabe-Stephens,Easy to find pictures,5,5/8/2024 19:16
John Dunn,Memories revisited,5,5/8/2024 19:08
Michael Ewing,Like the auto upload and the link to tv,3,5/8/2024 18:43
Mary Shipp,???,5,5/8/2024 17:19
Kimberly Plummer,Saves space and time,5,5/8/2024 17:08
John Lee,I really love when you can save all ur pix here everyone should try it your love it here more,5,5/8/2024 16:50
Lisa Rawus,Fast uploading and unlimited amount of storage! Easy to print or request prints. Love this app.,5,5/8/2024 16:07
Greg Smith,Makes my memories serve me better,5,5/8/2024 15:53
maureen walker,I enjoy the picture groups I love the old pictures the most. Somehow you find them and it's great. I also enjoy pictures set to music. Sharing them is fun too. Thanks!,4,5/8/2024 15:46
Linda Murray,It's a little confusing! It's not easy to find my photos.,4,5/8/2024 14:24
Lawrie Sherratt,Excellent storage.,5,5/8/2024 14:21
Toni Teague,Excellent app,5,5/8/2024 13:24
Gerry Bernie,Everything works first glass,5,5/8/2024 13:20
Jean Thompson,It's been good so far.,5,5/8/2024 13:08
Alfie Graham,Great ??ç,5,5/8/2024 13:05
Gayle Adamek,Get to have pics in one space,5,5/8/2024 11:27
Edward F,A nice app to organize and backup your photos..... ??Å,5,5/8/2024 11:01
Adrne Steel,Love it so far,4,5/8/2024 10:36
Doug beasley,Enjoyable,5,5/8/2024 9:01
Agnes Boyd,Marvelous,5,5/8/2024 7:19
Jennifer Dye,Absolutely love how it automatically uploads pics off of your phone to save them for you!,5,5/8/2024 6:31
