Name,iCloud Reviews,rating,recommended rating,date
"Verified Reviewer


Verified LinkedIn User","""Google Photos- A must have for every phone""
Overall: Google Photos is a
                    great competitor for iCloud; it is easy to use, smart technology that makes it easier to optimize
                    your cloud storage experience, and great for all devices.
Pros: I liked a lot of Google
                    Photo's features. Google Photos has amazing built in features, an accurate algorithm to detect
                    faces, has highlight features, and is wonderful for backing up photos. Google Photos can easily be
                    used on different devices, and it is easy to share photos with others with your Google account.
                    Photos can easily be backed up and restored if deleted, and with the smart tools on Google Photos,
                    it is easy to organize, search for, and edit photos.
Cons: Sometimes Google Photos
                    diminishes the quality of photos, and the editing tools are basic, but this isn't a major problem.",5,10-Sep,19-Jul-22
"Luca
                            T.","""Archiviazione rapida e sicura dei tuoi file multimediali""
                
Overall: Molto positiva. Anche
                    in versione App molto intuitiva e con elevata usabilità.
Pros: Possibilità di archiviare
                    in modo automatico e veloce i tuoi file multimediali
Cons: Potrebbe essere
                    implementata una funzione per l'archiviazione offline, senza collegarsi all'app.
Switched From: Dropbox Business
Reasons for Switching to
                        Google Photos: Per la maggior usabilità.",5,10-Sep,3-Nov-22
"Pedro
                            C.


Verified LinkedIn User","""Excelente backup ""
Pros: Excelente ferramenta para
                    guardar as fotos que tiramos com o telemóvel.
Cons: Deveríamos poder escolher o
                    tamanho da compactação das fotos, por vezes gostaria de ter a foto no tamanho original.",3,10-Sep,21-Apr-23
"Leo
                            V.","""Google Photos review""
Overall: My Use of Gogle
                    Photos is Pessoal. it Help me to organize my photos.
Pros: Syncronization is very
                    fast. Vey easy to use.
Cons: I Don´t have Cons About
                    Google Photos. It Functions very whell.",3,10-Oct,18-Sep-23
Samuel A.,"""Efficient Photo Storage with Backup""
Overall: Convenient solution
                    for photo storage and organization.
Pros: Automatic backup,
                    intelligent organization features.
Cons: Compression for free
                    storage, potential data privacy issues.",3,10-Aug,1-May-23
"Edin
                            T.


Verified LinkedIn User","""Actually good""
Overall: Within all the time I
                    have use it I love and can not find any better cloud software for pictures/photos
Pros: The best asset of the
                    product is that you can use it at any smartphone or tablet that you have, it doesn’t matter if it’s
                    iOS or android it will work just fine.
Cons: Sometimes it lowers the
                    quality of the photos uploaded to the cloud.",5,10-Oct,29-May-22
"Verified Reviewer


Verified LinkedIn User","""Google photos s'intègre a la perfection sur Android ""
                
Overall: Globalement positive.
                    Je l'utilise au quotidien pour gérer mes photos 
Pros: Permet la synchronisation,
                    la compression et le stockage de mes images et photos. M'envoie également des rappels pour les
                    anniversaires de prise de photos.
Cons: Pas grand chose. Il ne
                    s'intègre pas aussi bien sur un environnement Windows ou Apple",5,10-Oct,20-Oct-22
"Anmol
                            M.","""Google photos review""
Pros: I like the free cloud
                    storage available in this app 
Cons: There is no disadvantage of
                    using google photos",5,10-Oct,3-Feb-24
"Lara
                            C.","""Fotos""
Pros: O google fotos se tornou
                    app indispensável em todos os telefones celulares que eu utilizo, não tenho preocupação em trocar de
                    celular pois sei que minhas fotos estarão salvas na minha conta.
Cons: poderia melhorar na questão
                    de salvar as molduras que app faz.",5,10-Oct,21-Aug-22
Cláudia T.,"""Sempre próximo de grande utilidade""
Overall: Muito prático para
                    ver as suas fotos e vídeos.
Pros: Muito fácil de editar as
                    fotos. Para quem gosta de fotos a sua instalação nos telemóveis é indispensável.
Cons: Deveria ter mais algumas
                    funcionalidades no formato de edição. Provavelmente a sua evolução passará por isso mesmo.",3,10-Aug,24-Nov-22
"Maria
                            angelica H.


Verified LinkedIn User","""Sin duda en lo personal es lo mejor en nube ""
Overall: me encanta, para mi
                    es el mejor software en la nube para imágenes/fotos
Pros: Lo puedo usar en cualquier
                    teléfono inteligente o tableta que tenga, no importa si es iOS o Android, siempre funcionará bien
                
Cons: Hay ocasiones en las que
                    baja la calidad de las fotos o videos.",3,10-Oct,19-Nov-22
"Esther T.


Verified LinkedIn User","""Memories are kept fresh ""
Overall: The experience has
                    been superb because file sharing has been made easier and memories have been kept fresh. I will
                    always choose Google photos.
Pros: Google photos enables
                    members to share files easily and enjoy the background music while browsing through the
                    files.Fantastic!
Cons: Sometimes when one tries to
                    delete a specific file the rest also get deleted without being notified.Otherwise most of the
                    features work just well.",3,10-Oct,22-Aug-23
Nhlanhla Lucky Luthuli L.,"""Google Photos Features Review""
Overall: Greatest experience
                    great memories still saved to date many lost souls but google photos keeps them alive forever.
Pros: Easy to use but my greatest
                    feature is the automatic backup saves a good memories even gives you reminders on the memories on
                    the exact date even after 6 years i still get those reminders
Cons: Trial version has limited
                    space however its good for someone who does not have much photos to backup.",5,10-Sep,13-Jan-24
"Verified Reviewer


Verified LinkedIn User","""Eine gute Software um Speicher auf dem Handy zu sparen""
                
Overall: Es ist eine sehr gute
                    Methode um Speicher zu sparen, Und es ist kostenlos nutzbar
Pros: Dass man die Software
                    kostenlos nutzen kann,Und somit Speicher sparen kann
Cons: Dass das Archivieren und
                    speichern manchmal nicht reibungslos funktioniert.",5,10-Oct,31-Oct-22
"Jakob
                            H.","""Google Photo""
Pros: Google Photos is great for
                    not only backing up your photos but generally storing them, it saves a lot of space on your phone's
                    storage.
Cons: I wish it would be easier
                    to connect with other Google products.",5,10-Oct,6-Aug-22
Shameem W.,"""Google photos - great for photo storage ""
Overall: Google photos is
                    great for photo storage. You can back up multiple users photos to one account. The editing options
                    however are limited and pretty basic. The first 15 Gigs are free and after you have to at for more
                    space. 
Pros: - can choose the quality
                    you would like to store your photos
                    - can backup another users photo to one account so that all photos are together in chronological
                    order
                    - search feature makes it easy to locate photos 
Cons: - the options for editing
                    photos is very limited and basic.
                    - access to photos without an internet connection is limited
                    - there is a fee for storage over 15G",5,10-Aug,30-Jun-22
"Elsa
                            G.","""Guardo todas mis fotos fácilmente""
Pros: Tanto en mi día a día
                    personal como laboral, uso esta herramienta para guardar todas mis fotos y las de los clientes.
                    Indispensable.
Cons: El límite de tamaño, pero
                    con la opción de pago tienes más espacio",5,10-Oct,5-Dec-22
"Dauzrion D.


Verified LinkedIn User","""Best Photo Storage Option!""
Pros: What I love most about this
                    software is that the storage is free!
Cons: I have no complaints about
                    this software being that I use it for both personal and business related photos.",3,10-Oct,23-Aug-22
"Buffy
                            I.


Verified LinkedIn User","""Google Photo's""
Overall: Absolutely love
                    Google photos!
Pros: All the ease to use
                    features of editing my photos to storing them in folder that is so easy to access!
Cons: I cant find one thing I
                    dislike about it!.",3,10-Oct,23-Aug-22
Marieken V.,"""Great application for storing all my important pictures""
                
Overall: Good overall
                    experience and an application I use daily
Pros: It's intuitive to use and
                    pictures can be shared and saved to other applications
Cons: Mybe the editing features
                    are a bit basic",3,10-Oct,11-Sep-22
"Maik
                            A.


Verified LinkedIn User","""Compartilhamento de fotos de alta qualidade com
                    facilidade""
Overall: Soluciono o
                    compartilhamento de fotos dos eventos da escola
Pros: Compartilhamento e
                    armazenamento de fotos facilitado, gosto muito que a qualidade das fotos ficam até melhores, e a
                    criação de álbum facilita o acesso doa pais
Cons: As vezes queremos apagar
                    uma foto da nuvem, a possibilidade de excluir ela direto do album seria muito boa",5,10-Oct,18-Jun-23
"crane
                            H.","""I've been loving Google Photos for as long as I
                    remember.""
Overall: I love this
                    application. I have been using it for over 5 years and so far I have never had any issues with it.
                
Pros: Real time synching of
                    photos not only saves one time but a lot of great important content one would love to save for
                    future use and to refresh memories.
Cons: The storage space is a bit
                    less , I wish it could be increased .",5,10-Oct,6-Nov-22
Jacinta K.,"""Best App to Store Your Memories! ""
Overall: I have had an amazing
                    experience using this application. I have saved precious memories of my friends and family. 
Pros: Google Photos allows you to
                    upload and store your photos and videos for a long period of time. It allows you to upload your
                    gallery to the cloud automatically via Wi-Fi or cellular data. It also shows the names of the people
                    present in photos. Even if you accidentally lose your phone, you can still access your stored photos
                    and videos once you install the app in your new phone and log into your Google account. 
Cons: It is hard to locate photos
                    fast because you have to scroll through months or even years of saved photos which can be tiresome.",5,10-Oct,19-Sep-22
Prajakta J.,"""Great cloud backup solution for photos!""
Pros: Ease of useShearing with
                    colleagues and friends Automatic back up and upload
Cons: Photos once upload take
                    longer to show the image icons.",5,10-Oct,14-Jan-23
"Abdul
                            J.","""Google photos""
Overall: Overall i like it.
                
Pros: Because it save my all pics
                    and data.and i feel it very secure
Cons: In this app 15 gb photos
                    and video data backup.",5,10-Oct,17-Jul-22
"Rach
                            H.","""Great Photo Back Up""
Overall: It's great
Pros: Google Photos are easy to
                    upload as it was connected with Gmail and or Google.It is stable and global storage. Google Photos
                    are safe and are universal - marketwise.
Cons: None so far, everything
                    with Google Photos is good and user friendly. It has handy features.",3,10-Oct,10-Oct-23
Burhan K.,"""Very usefull software to use ""
Overall: Easy and excellent
                    tools to use 
Pros: Storage is the most I liked
                    it of this.... 
Cons: Gives all the information
                    of the photo....",3,10-Oct,27-Jul-22
"Bholeswar S.


Verified LinkedIn User","""Faster way to edit photos""
Pros: The automatic photo editing
                    feature is a great deal for people who have less skill on editing. Ad it allows to save photo
                    directly in google cloud and run phone smoothly.
Cons: There are only very less
                    editing filters, It should be improved.",3,10-Jul,16-Nov-22
"Miri
                            L.","""Best for ease of access""
Pros: It's easy to access, and
                    it's linked to your google account where you probably have your gmail, calendar and more.
Cons: drag and drop and also the
                    scrolling can freeze your computer",5,10-Oct,24-Aug-22
Nirmal K.,"""Doesn't miss any good moments!""
Pros: This app was the best for
                    saving photos into Cloud. It was more convenient before Google brought a limitation on the storage
                    of the account.
Cons: Cloud syncing with the
                    gallery of the smartphone is a mess. When the photo or video is removed from the Gallery app of the
                    mobile, the same does not get removed the Google Photos. As a result, the gallery in Google Photos
                    gets filled with unnecessary photos",5,10-Aug,28-Jul-22
"Inês
                            E.","""Cloud de fotos do android""
Pros: organziação por data e
                    local das minhas fotos e videos de forma automatica e rápida
Cons: Erros constantes de
                    sincronização de conta nos meus diversos dispositivos.",5,10-Jul,17-Mar-23
"Alexus M.


Verified LinkedIn User","""Great For Storage ""
Pros: I like that I have an extra
                    place to store my files. I can easily share my files across all of my devices. 
Cons: There is a limit to how
                    much you can upload.",5,10-Oct,9-Sep-22
"Neha
                            M.


Verified LinkedIn User","""Best in market""
Pros: Helps identify and track
                    photos using face recognition
                    Compressed images online save a lot of storage space and can be retrieved to original size in no
                    time
                
Cons: The free version only
                    offers 15 GB which is very less for photos and videos considering today's high resolution picture
                    quality",4,10-Jul,30-Sep-22
"Verified Reviewer


Verified LinkedIn User","""Not as Easy as I'd Like""
Pros: Google Photos makes it
                    really easy to share photos with colleagues, friends, family, etc. When you have to app, it makes it
                    even easier. If you have Gmail, it makes it even easier!
Cons: I have an iPhone and I find
                    it hard to save the photos to my iPhone library. I have googled this and tried multiple ways, an I
                    still have not gotten it to work. This is my main issue with it.",3,10-Jul,8-Jul-22
"Mark
                            A.","""Great photo storage app""
Pros: I like how I can order
                    photo prints to local stores directly from my phone or laptop
Cons: I don't like how my storage
                    is limited unless I pay for extra storage",3,10-Jun,20-Nov-22
"John
                            S.","""Poco Friendly - Tienes que leerte un montón de páginas
                    para descubrir como te puedes bajar fotos""
Overall: Suy un usuario
                    privado. Realmente, no me resuelve más problema que el de la capacidad de almacenamiento de mi PC
                
Pros: Organización de las fotos.
                    Este es un ejemplo de que no me dan libertad para escribir lo que quera.
Cons: Si quieres tener copia de
                    las fotos en tu ordenador, es complicadísimo. Cuando consigues descargártelas, de dan un formato zip
                    que no se puede leer por el programa wil zip que me bajé de la web.
Reasons for Choosing
                        Google Photos: Parecía que ofrecía facilidades, pero luego no es así.",3,10-Apr,20-Dec-22
