Name,iCloud Reviews,rating,recommended rating,date
"Syamir K.


Verified LinkedIn User","""Cloud storage from Apple""
Overall: Good things with this
                    cloud storage software is, it really work and it never fails me in backing up my files and data from
                    my phone. I have an easy time while using this software in managing my data online and securely
                    stored it on cloud storage. 
Pros: Everything stored on my
                    iPhone like contact number, photo, video, audio and document can be backed up to the cloud storage
                    easily by iCloud. I can access my files on my phone directly from my computer without having to
                    transfer it manually from my phone to my computer. 
Cons: I am concern on iCloud
                    security as there are many news of people that has their iCloud account been hacked and their data
                    is compromised. Adding more security feature to the software is much needed to ease our mind of the
                    security of our storage content and data. 
Switched From: Google Drive
Reasons for Switching to
                        iCloud: iCloud has more feature that can be use with my Apple product.",3,10-Apr,4-May-21
Fabrizio M.,"""icloud vabbene però...""
Overall: Del resto consiglio
                    vivamente il servizio icloud anche perchè tutti ormai utilizzano questo servizio di icloud, essendo
                    un'amante della famigerata mela ho anche sistemi android meno sicuri certo, però rimane sempre
                    impeccabile il logo dice tutto.
Pros: Mi è piaciuto molto
                    l'icloud per il semplice fatto che posso archiviare tutto ovviamente sentendomi sicuro perchè è
                    completamente sicuro inserire i propi file che possono essere foto o backup importanti, è sicuro in
                    confronto a tanti altri servizi di archiviazione
Cons: Non mi piace il fatto che
                    mi sono trovato nella situazione che mentre dovevo ricevere dell'email importanti da parte
                    dell'azienda per cui lavoro, non ho potuto riceverle perche ho esaurito lo spazio a disposizone, e
                    poi ha un costo mensile ci sta però aumentate lo spazio a disposizione.
Switched From: Samsung Pay",3,10-Oct,11-Jan-24
"Amy
                            H.


Verified LinkedIn User","""iCloud of Ease""
Overall: I love iCloud, it
                    gives me a true sense of safe guarding when it comes to our file storage and security of such
Pros: What I like most about
                    iCloud is the security. The features outside that are impressive as well and the pricing is good.
                
Cons: What I like least is the
                    fact that when searching for something you must be very specific in what your looking for. And also
                    the file conversion is a bit difficult when sharing across platforms 
Reasons for Choosing
                        iCloud: It works with my phone and laptop and is top rated with security 
Switched From: Google Drive
Reasons for Switching to
                        iCloud: I switched to be able to easily access and store all work and personal files
                    across many devices",3,10-Oct,13-Mar-23
"Noorhidayu S.


Verified LinkedIn User","""icloud is a great personal cloud storage""
Pros: I really like that i only
                    need one space to managing my digital cloud space that i have use it to store my photo, files,
                    document and contact list from my iPhone and iPad. I don't need to manually transferring them over
                    the USB cable every-time i need files on my iPhone to my Mac Book. It make everything is very
                    flexible to be moves around.
Cons: I really freak out whenever
                    i heard that someone iCloud account get hacked and their storage content get leaks to the internet.
                    It makes me wounder how good is this software security and their encryption to help us shielding
                    from getting hacked. I hope they can introduce a new more secure encryption for the software. 
Switched From: OneDrive
Reasons for Switching to
                        iCloud: OneDrive is not integrated really well with my Macbook and iPad. iCloud can do
                    it better for it.",5,10-Sep,7-Jun-21
"Falisha Z.


Verified LinkedIn User","""Ios best companion ""
Pros: iCloud is, without a doubt
                    are the most outstanding cloud storage service for Apple customers. The pricing is incredibly low,
                    especially when it comes to family plans. It allows me to sync my info across all of my Apple
                    devices effortlessly. Apple customer service is fantastic; they go out of their way to assist you in
                    any way they can, and they were instrumental in restoring my login to my accounts, which included
                    all of my data. It's effortless to switch to a new smartphone and restore your info. 
Cons: iCloud's email somehow
                    doesn't distinguish between different sorts of emails, such as advertising, social media, or
                    promotions, but instead groups them all into the same single inbox. At first, figuring out how to
                    use iCloud might be confusing. It took me a while to get used to it. 
Switched From: ShareFile",5,10-Jul,27-Oct-21
"Kunal
                            T.","""Good, put pricey!""
Overall: Except the price, I
                    am extremely happy with iCloud and would recommend it to everyone, if price is not a factor for
                    them.
Pros: I like the fact that it
                    integrates very well with all Apple devices, rather seamlessly. It is definitely easy to use and
                    deploy. There is a feature with iCloud+ which not many people know wherein they can hide their email
                    address on the outgoing email addresses, which I think is nice depending on your profile.
Cons: Definitely, it is not
                    cheap. It comes at quite a steep price and you would require a lot of iCloud storage to use or store
                    all your files. I have also realised it is sometimes a bit slow to sync.
Alternatives Considered:
                    OneDrive and Google Drive
Reasons for Choosing
                        iCloud: I still use Google Drive and OneDrive, but iCloud definitely works well and
                    syncs well with my Apple Devices. So just can't ignore iCloud.",5,10-Sep,18-Feb-23
"Hafizah S.


Verified LinkedIn User","""Best to storing online data and media""
Pros: I have first introduced to
                    this software freely as i have purchased my iPhone. It has been provided freely but with some
                    limitation on the space that i can use, but can be expanded to have a larger storage space quite
                    cheaply. A user that has multiple Apple product will benefit the most, as it will collecting and
                    synchronize all the data from the Apple device on single storage space.
Cons: It has only one basic
                    option for sharing and sending my files and document on the storage space to others, which is not
                    good for business purpose. I will need a more secure and password protected option when sharing and
                    sending my document, as it containing sensitive information of our business. 
Switched From: OneDrive
Reasons for Switching to
                        iCloud: OneDrive is quite expensive for a personal use and more suitable for a business
                    needs.",5,10-Aug,27-May-21
Youngsook S.,"""My iCloud Review""
Overall: Overall, iCloud is a
                    user-friendly cloud storage solution that offers strong security to me as an Apple user.
Pros: iCloud has the
                    easiest-to-use interface and its makes the navigate effortless for all. Its automatic backups
                    provide added security and peace of mind. Syncing across Apple devices, enabling users to access
                    their files and content seamlessly.
Cons: The biggest issue is its
                    limited storage capacity to me. And the inconsistent performance could be drawback time to time.
                
Reasons for Choosing
                        iCloud: The natural reason is i become to an Apple user.
Switched From: Dropbox Business
Reasons for Switching to
                        iCloud: The natural reason is that i become to an Apple user.",5,10-Sep,8-Apr-23
"Noureddine B.


Verified LinkedIn User","""iCloud Review ""
Pros: iCloud is seamlessly
                    integrated with Apple's ecosystem, making it easy to use and access from any Apple device, and
                    iCloud automatically backs up data from Apple devices, including photos, documents, and app data,
                    ensuring that users don't lose their data if their device is lost or damaged, and syncs data across
                    all Apple devices, ensuring that users have access to the most up-to-date versions of their files,
                    and also iCloud allows users to share documents, photos, and other files with other iCloud users,
                    making collaboration easier.iCloud uses encryption to protect users' data and offers two-factor
                    authentication to prevent unauthorized access.
Cons: The free storage plan
                    offered by iCloud is limited and may need to pay for additional storage if they want to store a
                    large amount of data.While iCloud's syncing feature is generally reliable, some have reported issues
                    with files not syncing correctly across devices.iCloud is only compatible with Apple devices and is
                    not available for use on other platforms, which can be limiting for users who use multiple types of
                    devices.While some iCloud services are free, may need to pay for additional storage or for access to
                    certain features, which can be costly.",3,10-Apr,6-Mar-23
"giorgia B.


Verified LinkedIn User","""ICloud bello ma...""
Overall: La mia esperienza con
                    icloud nel complesso è abbastanza positiva mi trovo molto bene con la sicurezza e la comodità di
                    avere email foto video e documenti tutti nello stesso posto ma ha anche molte cose da migliorare
                    cominciando dallo spazio di archiviazione che purtroppo è limitato, il fatto che se crei una
                    cartella con dei documenti devi per forza cercarla dalla barra di ricerca/filtro perchè tra le
                    cartelle di sistema di icloud non la trovi e questo è molto fastidioso e poco pratico soprattutto se
                    lo usi per lavoro e devi trovare dei documenti in modo urgente.
Pros:  Il vantaggio più grande di
                    ICloud è la sicurezza, in quanto ha la sicurezza a due fattori e se passi da un dispositivo Apple ad
                    un altro ti mandano un codice di sicurezza o sul dispositivo apple oppure tramite sms, e subito dopo
                    ti richiede una parola chiave che puoi sapere solo tu. MI è piaciuto anche la facilità
                    nell'utilizzarlo e la sincronizzazione automatica dei documenti e delle foto e video.
Cons: La cosa che meno mi è
                    piaciuta di icloud è lo spazio di archiviazione limitato, se non fai l'abbonamento mensile o annuale
                    non ti fa più ricevere email e per lavoro è una cosa molto scomoda e disdicevole, anche se paghi hai
                    comunque uno spazio di archiviazione limitato (50gb al mese a 0.99 centesimi) e ciò lo trovo molto
                    irritante.",3,10-May,20-Dec-23
"Larry
                            W.","""Need Easier File Sharing Functions""
Overall: Good for personal
                    use. Very poor functionality for business use. 
Pros: Ease of use. Perfect for
                    personal photo storage and casual file storage in the cloud. Apple's emphasis on privacy is also a
                    plus. 
Cons: (1) Poor File Sharing
                    Features.
                    iCloud only allows single file sharing and has to do that by adding each collaborator on each single
                    shared file or folder. It does not come with the easy-sharing feature such as multi-selecting
                    files/folders and creating a file-sharing link like Dropbox offers to whoever has the link or the
                    link+passcode combo. This has set iCloud and Dropbox far apart. This could be ok to share some
                    simple files with few family members, but this sharing function has make it barely usable for
                    business purpose.

                    (2) No Document Management and Version Tracking Features
                    iCloud only provides the bare minimum basic file storage function and does not offer version
                    management functions like Dropbox does. The version management function is actually very important
                    to make iCloud usable for business.
                
Reasons for Choosing
                        iCloud: Just because I use iPhone and iCloud provides other good functions for personal
                    phone uses such as background backup. If only consider business functionality, iCloud is much less
                    ideal compared to Dropbox.",3,10-Oct,19-Mar-22
"Eslam
                            E.","""The best cloud service for Apple users""
Overall: iCloud has by far the
                    best service and data-syncing across devices, and great customer service just seals the deal for me.
                
Pros: I have been using iCloud
                    for more than 6 years now and I can definitely say that it is the best cloud service for Apple
                    users. The price is just ridiculously cheap, especially for family plans. I use it to sync my data
                    across all Apple devices seamlessly. Apple customer support is just the best, they really try to
                    help you with whatever they can and they have helped me restore my password to my account that had
                    all my data. Switching up to a new device and restoring data is really easy and simple.
Cons: It is only limited to Apple
                    devices, so I can't sync my data on my windows computer. Other than that I have never encountered
                    any problem while using it.
Switched From: Google Drive",5,10-Oct,22-Oct-21
"Artem
                            B.","""iCloud is a reliable and convenient cloud storage for
                    anyone using Apple products""
Overall: This is a unique
                    product perfectly integrated into the Apple system.
Pros: iCloud is a reliable and
                    convenient cloud service for anyone using Apple products. As a photographer who edits photos and
                    videos on MacBook and iPad, iCloud allows me to easily sync and store my files across devices.
                    Thanks to iCloud's integration with Apple and third-party apps, I can quickly and easily transfer
                    files between different applications and devices. I often forget that iCloud is a cloud storage
                    service because it seamlessly integrates into my workflow and is always accessible
Cons: The free plan offers a very
                    small limit of available storage space for users
Switched From: Google Drive
Reasons for Switching to
                        iCloud: iCloud is better integrated into the Apple OS and offers more possibilities for
                    use",5,10-Oct,24-Feb-23
Thando M.,"""Store your data safely and easily. ""
Overall: My overall experience
                    has been truly amazing, this software has allowed me to store all of my data on my smartphone cloud
                    and I'm able to retrieve whenever I need to. With the data stored on my online iCloud I am able to
                    utilize more space on my smartphone device. 
Pros: The iCloud software helps
                    in storing your data, such as music, pictures, documents and more. With this software you can easily
                    retrieve any lost data, just by supplying you iCloud Identification and passcode. When your device
                    has insufficient storage space iCloud online storage helps stores your data that cannot be kept on
                    the device on the device's cloud. With iCloud storage you can store as much data you want just by
                    getting sufficient online storage. 
Cons: Internet dependency, to be
                    able to access your data from iCloud you require an internet connection. There are costs attached to
                    the iCloud online storage, thus making it difficult to store data if you don't have any bought
                    space. The iCloud storage does not guarantee privacy for your data, because as you store it on this
                    software it is no longer in your physical storage, but on an online storage. 
Switched From: Google Drive",5,10-Sep,14-Dec-21
"Verified Reviewer


Verified LinkedIn User","""Kudos Apple! ""
Pros: I was first introduced to
                    iCloud by my wife who's an avid Apple fan, and since then I have grown quite fond of the App myself.
                    Given my job, I have a lot of data that I need to have stored and readily available to me, and
                    iCloud provides just that. I can store and sync all my contacts, photos, notes, messages, apps,
                    calendars, etc across all my other Apple devices. It's effortlessly compatible with my mobile, so I
                    don't need to always have my Macbook or iPad in front of me to access it. I also deal with a lot of
                    highly sensitive data/information, and iCloud has proven to have the best privacy and encyption
                    features.
                    It also has top notch convenience and simplicity, making it very easy to use and understand. Not to
                    mention, I no longer have to worry about storage space (which was a huge and annoying issue for me
                    in the past with other platforms) as the 5GB free storage space is beyond sufficient. I also love
                    that I can retrieve important information that may have been accidentally deleted, as long as its
                    backed up in the cloud. 
Cons: iCloud works perfect for
                    me. I have no issues. However, they could look at making it easy to integrate with other platforms
                    like Android.",5,10-Aug,9-Feb-22
"panashe B.


Verified LinkedIn User","""iCloud Review""
Overall: In general, iCloud
                    provides seamless cross-device synchronization, but limited free storage and potential compatibility
                    issues on non-Apple devices may require careful consideration and budget planning.
Pros: iCloud's cloud storage is a
                    lifesaver. It seamlessly syncs my data across devices, making access and backup a breeze. It's the
                    ultimate convenience for my digital life.
Cons: However, iCloud's free
                    storage is limited, and upgrading can be pricey. Also, it's not as user-friendly on non-Apple
                    devices, which can create compatibility issues.
Switched From: Google Drive
Reasons for Switching to
                        iCloud: I switched devices from android to apple",5,10-Sep,30-Oct-23
"Verified Reviewer


Verified LinkedIn User","""Is it the best current storage system?""
Overall: No geral, gosto muito
                    do iCloud, uma vez que só tenho equipamentos da Apple, é me muito vantajoso. No entanto, tem as suas
                    vantagens e desvantagens.
Pros: O facto de estar sempre a
                    sincronizar todos os ficheiros, para todos os equipamentos.
Cons: Que apenas oferece 5GB de
                    armazenamento de graça, é muito pouco para o dia a dia do utilizados. Depois por cada GB a mais, é
                    demasiado caro. Deviam de tornar mais acessível para todas as classes económicas, ou então fazer
                    pacotes mais apetitosos.
Switched From: Google Drive
Reasons for Switching to
                        iCloud: O google drive oferece 15 GB de graça, o que é 3 vezes mais que o iCloud
                    oferece.",3,10-Aug,28-Nov-23
Mohammad A.,"""iCloud is the place to store information with no issues.""
                
Overall: One of the best
                    experiences I had in storage and retrieving information.
Pros: It take any size of
                    information, safe and very fast to retrieve it.
Cons: All is good the issue might
                    be with the internet line I may have.
Alternatives Considered:
                    Easy Storage Solutions
Reasons for Choosing
                        iCloud: Support and prices were much better.
Switched From: Hard Disk Manager 15
Reasons for Switching to
                        iCloud: More flexible, better support",3,10-Oct,22-Feb-23
"Joel
                            B.","""ICloud is great""
Overall: My overall experience
                    with iCloud has been good, and I will continue to use it. 
Pros: I like iCloud because it's
                    easy to use, and is native to all Apple devices. It makes it a no-brainer when you're using Apple
                    computers, iPads, or iPhones. And even when you're using some PC devices, it ports over rather well.
                
Cons: When using iCloud on a PC
                    or non-Mac device, it is a little bit more clunky, and not as seamless as when you're using a Mac
                    product. 
Alternatives Considered:
                    OneDrive
Reasons for Choosing
                        iCloud: I chose iCloud over the alternative products because iCloud is native to all my
                    Mac devices",3,10-Sep,30-Oct-23
"Verified Reviewer


Verified LinkedIn User","""iCloud is simply the best""
Overall: It is fair to say
                    that iCloud is more than any other average cloud storage platform. It gives the best support to
                    backs up iPhone, iPad, and Mac data. It allows to access data from either a computer or mobile
                    device, and it is the best feature when you are away from your usual home base. Even if you lose
                    your device, the cloud data will not be lost. I changed phones but didn't lose any contacts, photos,
                    or other important stuff that I had on my phone. 
Pros: It is simply the best
                    platform when it comes to storing files and data on the cloud with great security features. It
                    allows accessing data from any location that is connected to the internet. You can easily share
                    files from the photo library as everything is seamlessly synchronized. You can manage your iCloud on
                    multiple devices and even locate a lost phone/tab. I personally love it for keeping track of my
                    calendar, bookmarks, and contacts. I have used it on my phone, tab, and mac system and it works
                    equally good on any device.
                
Cons: Life is good when you have
                    good internet connectivity but when you are in some remote area with low signals, the photos won't
                    load and makes your hair pull. I encountered this situation a couple of times and I was pretty
                    annoyed. So be mindful. The monthly storage subscription fee is low but still, it costs.",5,10-Aug,31-Jul-21
"Naja
                            H.","""iCloud, multifunctional multidimensional online data
                    cloud storage manager""
Overall: Overall The key
                    message is that the system is one that is hard to avoid because of the seamless integration into
                    most Apple products, in addition to the multi functionality and integration within most if not all
                    major apps.
Pros: Ultimately what’s best
                    about this software is the fact that it is pretty user-friendly, and broadly accessible from a
                    variety of different devices. In addition can be accessible without direct Wi-Fi connection.
                    Therefore users can seamlessly access any of the required documents from virtually anywhere and from
                    any device. Integration between the majority of instilled apps is what allows this particular data
                    storage management to be ranked as a top-tier data storage software.
Cons: On the other hand, for
                    users who spend a large amount on the devices of selves, in particular Apple devices that have the
                    seamless integration it does seem a bit redundant to limit the amount of free storage that users
                    have access to and charge for additional storage although it is the storage management that is built
                    into the system. In addition I would recommend to further elaborate on the organizational aspects of
                    the folder system to allow users to add additional sub categories or sub tabs into their broad
                    folders .",4,10-Sep,14-May-22
"Gabriela C.


Verified LinkedIn User","""iCloud best solution for data back up and storage""
Overall: Overall it have been
                    a really good experience so far, since I can upload all of my files either from my MacBook or iPad
                    and have access to them automatically, it is really simple to use and to upload my files as well
                
Pros: It helps you to store all
                    of your iPad and MacBook data by protecting your privacy as well as offering a security feature,
                    your data is synchronized with iCloud and stores everything there, this is definitely worth to use
                    especially if you are committed to use Apple's system. This is compatible with windows as well as
                    macOs and iOs devices
Cons: I do not like that there is
                    no android app, also there is limited storage for free and then you have to purchase more space
                
Switched From: OneDrive
Reasons for Switching to
                        iCloud: Because OneDrive's platform is really confusing for me and did not meet my
                    expectations",3,10-Aug,17-May-21
Philip S.,"""iCloud is one of the most reliable cloud storage services
                    available.""
Overall: Overall, iCloud is
                    the most complete and reliable cloud storage service that I've used so far.
Pros: One thing that I really
                    like about iCloud is the fact that everything is uploaded and stored automatically and you can have
                    access to any file whenever you need it. The automated file management lets you download the files
                    that already have been uploaded to the cloud at any time!
Cons: Something that bothers me
                    in my experience with iCloud is that sometimes the sync between each device connected to iCloud is
                    not perfect. There have been times that I needed to access files on my iPad and couldn't find them,
                    even though I was logged to the same iCloud account as my primary device, my Macbook Pro.
Switched From: Google Drive
Reasons for Switching to
                        iCloud: My new Apple devices must be connected to an iCloud account.",5,10-Oct,1-Feb-22
Makayla C.,"""iCloud Review""
Overall: It allows every
                    employee to be on the same page, at all times. 
Pros: It is the most
                    user-friendly cloud-based software. All employees already use Apple products, so it helps to create
                    a convenient work/life balance.
Cons: When you are running low on
                    storage, the constant reminders/warnings can get annoying when you are trying to work.
Alternatives Considered:
                    Google Drive
Reasons for Choosing
                        iCloud: Everyone has an Iphone, or some type of Apple product. The brand loyalty was
                    obvious to us, but also, the rates are much more competitive and the ease of access can't be beat.",4,10-Sep,6-Apr-23
"Raju
                            L.","""Stay Organized with iCloud""
Overall: It is a convenient
                    and reliable option for Apple users who need to access their files and data across multiple devices.
                    There are no customization options but it is secure.
Pros: 1. iCloud is designed to
                    work seamlessly with Apple devices, making it easy to access your files and data from multiple
                    devices.2. It automatically backs up your photos, contacts, and other data, ensuring that you never
                    lose important information.3. It also includes a Find My feature that allows you to locate your lost
                    or stolen Apple device.4. iCloud makes it easy to share files and collaborate with others, whether
                    you're working on a document, photo album, or other project.5. It can be accessed from any device
                    with an internet connection, making it a convenient and versatile option.
Cons: 1. iCloud lacks more
                    advanced features, such as file versioning or file-sharing options.2. It's integration with
                    third-party apps is limited compared to other cloud storage providers.3. Its interface and features
                    are a little complex.",3,10-Jun,10-Apr-23
"Brianna L.


Verified LinkedIn User","""iCloud""
Overall: I have had a good
                    experience with iCloud, I like that I am able to access my photos/videos from my from to my laptop.
                
Pros: I like that I am able to
                    store my photos/videos without them getting lost.
Cons: I dislike that you have to
                    pay extra for gigabytes. 
Alternatives Considered:
                    Gmail
Reasons for Choosing
                        iCloud: Storage space.
Switched From: Google Drive
Reasons for Switching to
                        iCloud: I switched my devices to Apple.",3,10-Sep,29-May-20
"Shahirah L.


Verified LinkedIn User","""Great solutions for Apple device cloud storage""
Overall: iCloud is a great
                    cloud storage for my iPhone and can set my phone important data to be automatically backed up to the
                    cloud. 
Pros: I loved that iCloud storage
                    is not only stuck only on one standalone device, but can be access to from of my Apple device like
                    iPhone and iMac. It making the files sharing process between all of my device more smooth and can be
                    easily done. The uploading speed is also quite fast, almost the same as the download speed.
Cons: I hope more application on
                    my iPhone can be sync with the iCloud. For now, only native iPhone application can be linked with
                    the storage and other application will need manual process to saves the files to the iCloud. It is
                    no too important for now, but it is nice if such operation are be available.
Switched From: Dropbox Business",3,10-Jul,19-Oct-21
"Daniel Francisco R.


Verified LinkedIn User","""iCloud for college students""
Overall: So far, with the two
                    years and months that I have had this application, they have been very good, perhaps with certain
                    digital limitations, but always with the help of Apple, which always solves it.
Pros: What I like most about
                    iCloud Is that I can view my documents and files from any Apple smart device under my account. It's
                    also easy to share these files with others, like my friends from college, who are in or have an
                    iCloud account.
Cons: Some of the things I
                    dislike is that there are times when the file synchronization is very slow or never happens at all.
                    On the other hand, another thing that I don't like is that although iCloud has free storage, when it
                    runs out you have to buy more storage this is sometimes very expensive for people who study so they
                    can't afford it.
Switched From: Google Drive
Reasons for Switching to
                        iCloud: It has more storage, it's faster with syncing, and it helps me connect with
                    people who don't own Apple.",4,10-Sep,1-Apr-23
"Jeff
                            B.","""iCloud Review""
Overall: I would say overall I
                    would give iCloud good marks and am very happy with it. I do however think only 5GBs of ""basic""
                    level storage is too little; I feel Apple should offer more! I find it very fast, efficient and
                    stable so that makes my day personally and professional work well!
Pros: I primarily use iCloud as a
                    storage place for passwords, contacts and a choice amount of items (photos, music, etc.) in my
                    personal day to day world. I mostly find it to be simple and seamless but do find it fills up quick
                    and then the philosophical questioning of should I pay for more storage and how much do I need cross
                    my mind. As I mentioned below I had a major ""merge"" issue, but rank Apple's customer service in very
                    high regards for addressing and solving problems!
Cons: I think the pricing is a
                    bit much and there are times I prefer as much of the items I would potentially store on iCloud to
                    simply be on my hard drive and/or phone ONLY. Call it security fear but on occasion I think that way
                    and thus the price scares me off. I do not use a MAC anymore (back to PC) so the occasional sync
                    issues do occur. The biggest issue I ever had personally was when I left a job, had a separate
                    iCloud log in and had major issues merging the accounts.",4,10-Oct,18-Dec-20
"Mathieu V.


Verified LinkedIn User","""Easy acess and storage from all your Apple devices""
Pros: Icloud is really awesome to
                    use between all of your mobile device even if some are Android and any other OS . You can access
                    your whole cloud storage from any endpoint with speed and a secure space for all your documents.
                    It's also a lot cheaper than other options out there with their bundles on IOS 
Cons: The MFA to access Icloud is
                    sometime but rarely delayed a little bit by about 1 minute. This happens really rarely though but
                    nothing is perfect so I have to mention it 
Switched From: Dropbox Business",5,10-Jul,28-Aug-23
"Verified Reviewer


Verified LinkedIn User","""Why am still using iCloud from past 2 years?""
Overall: It’s save my times so
                    I can concentrate on others topics 
Pros: This software easy to use
                    & 100% secure 
Cons: Security level is high
                    & it’s easy to use 
Alternatives Considered:
                    Google Drive
Reasons for Choosing
                        iCloud: Only for security 
Switched From: Google Drive
Reasons for Switching to
                        iCloud: I was concerned with the security that time",4,10-Oct,7-Jul-22
"Tanice D.


Verified LinkedIn User","""I can retrieve data up to the minute I first started
                    using this software. ""
Overall: My experience with
                    iCloud over the years that I am using it has been amazing, I can retrieve data up to the moment I
                    first started using this software. 
Pros: What I love this most about
                    this software is the peace of mind it allows me. I do not have to worry about data being lost or
                    stolen. and in the event where my device is stolen I am still able to access my documents, media,
                    anything that was stored and the best part about it I am able to cloud lock my device suing this
                    software. I have never enjoyed using any other software as much as I enjoy using this one
Cons: I love this software so
                    much, I have no faults whatsoever.
Switched From: Android 11
Reasons for Switching to
                        iCloud: iCloud offered me peace of mind. I can rest assure that my data is secured.",5,10-Oct,17-Nov-21
"Sofia
                            J.


Verified LinkedIn User","""Peace of mind at a low cost ""
Overall: I can have access to
                    all the photos of my work without having to take up space on my devices.
                    And of course peace of mind!
Pros: What I like most about
                    Icloud is how simple and fast it is. You don't have to take care of anything and it does it
                    automatically.
                    I am from Argentina, and although the exchange rate to the dollar is high, it is still convenient.
                    I broke my phone a year ago, and I only had to enter the web and download my photos and contacts,
                    until I could buy a new one. 
Cons: sometimes if I'm in a rush,
                    and I want to see an old photo, if I don't have a good internet connection it takes a while to
                    download. But that's the only drawback I've found so far. 
Reasons for Choosing
                        iCloud: I could share it with my family
Switched From: Google Drive",3,10-Oct,13-Feb-21
Flavie J.,"""iCloud, le nuage qui stock toutes vos données""
Overall: J'utilise iCloud tous
                    les jours lorsque je prends une photo, télécharge un logiciel, fais une recherche internet. C'est
                    pour moi indispensable
Pros: Ce que j'aime avec iCloud
                    c'est que je peux connecter tous mes appareils apple en instantané. Lorsque je prends une photo avec
                    mon téléphone je la retrouve juste après sur mon ordi. C'est indispensable !
Cons: Bien qu'iCloud présente des
                    avantages tels que le stockage et la synchronisation des données, il y a certains inconvénients à
                    prendre en compte. Le principal inconvénient est l'espace de stockage limité offert gratuitement, ce
                    qui peut entraîner des coûts supplémentaires pour les utilisateurs ayant besoin de plus d'espace. De
                    plus, une connexion Internet stable est nécessaire pour accéder aux données, ce qui peut être
                    problématique dans les zones à faible connectivité. Enfin, certains utilisateurs peuvent s'inquiéter
                    de la confidentialité de leurs données, bien qu'Apple assure un haut niveau de sécurité.",3,10-Sep,18-Jun-23
"Ingrid B.


Verified LinkedIn User","""Easy to use storage, especially between different Apple
                    products""
Overall: Overall I am really
                    pleased with icloud, and I have been using it for many years and will probably continue for a long
                    time. It has everything i need in a cloud-storage, and i especially love that it seamlessly
                    transports everything from my different tablets. The price is also really good, and definitely worth
                    it for the extra storage. One time i lost all my pictures from the whole year on my phone because i
                    did not have enough storage and i had to restart my phone, which really sucked. After that I
                    upgraded my storage space, so now a restart on my phone wouldn't be a problem!! I would really
                    recommend this to everyone. 
Pros: For me it was important to
                    find a storage system that would be easy to use, and accessible on both my iphone, ipad and Mac.
                    Icloud was therefor the obvious solution, and i have been using it for many years. I love that you
                    dont have to do anything manually, and that everything automatically gets saved in the cloud. 
Cons: Sometimes i forget that
                    when my phone is on ""battery-save"", you have to manually upload the images/documents. This is not a
                    big problem (and maybe something i could change). Also i have heard that it is harder to use if you
                    dont have an apple product, but since all my devices are from apple this is not a problem for me.",3,10-Oct,31-Dec-21
Michelle S.,"""Pleased With iCloud Services""
Overall: My business benefits
                    a great deal from iCloud considering I am using/accessing a large number of client files at any
                    given time. I have had computer crashes, iPhones broken, and overall just incidents where if all my
                    data was stored on the device, I would have lost everything. Knowing that the device is always
                    backed up and safe has allowed me to avoid the stress if I do experience a crash. In addition, I
                    work on the go sometimes and being able to connect my internet on my phone and access my files on my
                    laptop instantly is beyond helpful. 
Pros: I've been using iCloud for
                    years for my mobile (iphone) and laptop (Macbook) devices. I like the fact that it has real-time
                    data syncing and the fact that it backs up both of my devices with the same files. For example,
                    instead of having to reinstall all of my data if I switch phones manually, I can simply connect the
                    new phone to iCloud and install the same setup/files in minutes. Super convenient. 
Cons: I don't have anything that
                    I don't necessarily like with iCloud. I've had no issues, no security problems and no accessibility
                    problems. 
Reasons for Switching to
                        iCloud: I do still use Google Drive but primarily on a limited basis because I cannot
                    sync all of my devices quickly and in real-time.",5,10-Oct,9-Jul-21
Rutman L.,"""The best cloud system""
Overall: It´s the best cloud
                    platform, intuitive and you don´t even notice you´re using it
Pros: The best is that each
                    computer, cellphone or tablet gets synchronized in real time with all the information, it´s really
                    easy to use and you configure it from any gadget
Cons: Sometimes you don´t know if
                    the information is in the gadget or in iCloud, and whe you want to delete files, being in a computer
                    is the best way to do it, by cell phone or tablet it´s complicated and slow
Switched From: Google Drive",5,10-Oct,2-Jun-23
Jessica S.,"""An Absolute Necessity""
Pros: iCloud is a lifeline and
                    has saved me more than once. I used to back up on an external HD (and I still do) but after having
                    computer issues while traveling (and the external HD is at home) I also started backing up on
                    iCloud. Now my workflow is seamless, no matter what happens, no matter where I am.
Cons: I’m not sure I have a
                    con.... maybe that I can’t back up my music files, but that’s a personal issue.
Alternatives Considered:
                    Google Drive
Reasons for Choosing
                        iCloud: Google Drive did not seem user-friendly. I had a hard time finding my files
                    quickly. And it seemed to slow down my laptop.
Reasons for Switching to
                        iCloud: If something goes wrong when I’m traveling, I need to be able to access my
                    files remotely.",5,10-Oct,7-Feb-22
Aaliyah P.,"""Yes!""
Overall: I love it. I will
                    never switch and it will always be my primary and my go to 
Pros: I love iCloud and being
                    able to live stress-free. I feel as though all of my information is safe and secure.
Cons: As anything you aren't
                    familiar with there may be somethings that are confusing at the beginning. But when you are new to
                    using iCloud they do offer tutorials how to use. Also, if they had an app that uses iCloud that is
                    some sort of typing document like word, or google docs. 
Alternatives Considered:
                    OneDrive and Google Drive
Reasons for Choosing
                        iCloud: I've always been an apple person. When the progress their new updates and
                    software it keeps on getting better and better. I will always continue to be a member.",4,10-Oct,1-Aug-22
